"nome","resumo","coordenador"
"MONITORIA DE LÓGICA CLÁSSICA I E II","Em breve este conteúdo estará disponível.","Camila Aparecida Rodrigues Jourdan "
"REVISTA TAPUIA","Em breve este conteúdo estará disponível.","Camila Aparecida Rodrigues Jourdan "
"MONITORIA DE IFCH03-04432 - HISTÓRIA DA FILOSOFIA ANTIGA II","Em breve este conteúdo estará disponível.","Maria Inês Senra Anachoreta "
"MONITORIA DE IFCH03-09865 - PRÁTICA E METODOLOGIA DE ANÁLISE TEXTOS FILOSÓFICOS I","Em breve este conteúdo estará disponível.","Maria Inês Senra Anachoreta "
"MONITORIA DE IFCH03-09866 - PRÁTICA E METODOLOGIA DE ANÁLISE TEXTOS FILOSÓFICOS II","Em breve este conteúdo estará disponível.","Maria Inês Senra Anachoreta "
"MONITORIA DE IFCH03-04363 - HISTÓRIA DA FILOSOFIA ANTIGA I","Em breve este conteúdo estará disponível.","Maria Inês Senra Anachoreta "
"REESTRUTURANDO O ENSINO DE LÓGICA PARA ESTUDANTES DE FILOSOFIA","Em breve este conteúdo estará disponível.","Tiago Rezende De Castro Alves "
